NAME*,CODE*,code,DESCRIPTION,tasks,attachment,DOC_NAME_PAGE
12 Monthly - Maintenance - Azipod Local Backup Unit (LBU) SB,A2053-2670-C,2670,"1. Perform the steering test with LBU (3AFV6076182)
",['perform the steering test with lbu (3afv'],,
3 Monthly - Maintenance - Azipod Local Backup Unit (LBU) PS,A2054-2670-C,2670,"1. Steering panel lamp tests (3AFV6076186)
2. Thrust/propulsion panel lamp test (3AFV6076186)
3. LBU meters test (3AFV6076186)
4. Cable connection checks (3AFV6076186)","['steering panel lamp tests (3afv', 'thrust/propulsion panel lamp test (3afv', 'lbu meters test (3afv', 'cable connection checks (3afv']",DOC-00000242,"Task: 'steering panel lamp tests (3afv' - Manual: 3AFV6076186D_LBU Lamp Meter and Cable Connection Check.pdf (ID: DOC-00000242) - Pages: 3, 11
Task: 'thrust/propulsion panel lamp test (3afv' - Manual: 3AFV6076186D_LBU Lamp Meter and Cable Connection Check.pdf (ID: DOC-00000242) - Pages: 3, 12
Task: 'cable connection checks (3afv' - Manual: 3AFV6076186D_LBU Lamp Meter and Cable Connection Check.pdf (ID: DOC-00000242) - Pages: 3, 13"
12 Monthly - Maintenance - Azipod Local Backup Unit (LBU) PS,A2055-2670-C,2670,"1. Perform the steering test with LBU (3AFV6076182)
",['perform the steering test with lbu (3afv'],,
As required - Maintenance - Azipod Steering Motor 1 SB,A2060-2670,2670,"1.Replace bearings (motors with permanently greased bearings) or every 20.000 h
2. Dismount motor brake set and change pad  (ABB)","['replace bearings or every', '000 h', 'dismount motor brake set and change pad']",,
3 Monthly - Maintenance - Azipod Steering Motor 1 SB,A2061-2670-C,2670,"1. Check the condition of motor mounting and assembly bolts (3AFV6088283)
2. Check the condition of electrical connections and tighten terminals (3AFV6088283)
3. Check the condition of pulse encoder and coupling – Check lockings of coupling bolts (3AFV6088283)
4. Check the condition and clean brake (3AFV6088283)","['check the condition of motor mounting and assembly bolts (3afv', 'check the condition of electrical connections and tighten terminals (3afv', 'check the condition of pulse encoder and coupling – check lockings of coupling bolts (3afv', 'check the condition and clean brake (3afv']",,
12 Monthly - Maintenance - Azipod Steering Motor 1 SB,A2062-2670-C,2670,1. Check the condition of bearings ( 3AFV6088283),['check the condition of bearings ( 3afv'],,
5 Yearly - Maintenance - Azipod Steering Motor 1 SB,A2063-2670-C,2670,1. Change tachometer (ABB),['change tachometer'],,
As required - Maintenance - Azipod Steering Motor 2 SB,A2064-2670,2670,"1.Replace bearings (motors with permanently greased bearings) or every 20.000 h
2. Dismount motor brake set and change pad  (ABB)","['replace bearings or every', '000 h', 'dismount motor brake set and change pad']",,
3 Monthly - Maintenance - Azipod Steering Motor 2 SB,A2065-2670-C,2670,"1. Check the condition of motor mounting and assembly bolts (3AFV6088283)
2. Check the condition of electrical connections and tighten terminals (3AFV6088283)
3. Check the condition of pulse encoder and coupling – Check lockings of coupling bolts (3AFV6088283)
4. Check the condition and clean brake (3AFV6088283)","['check the condition of motor mounting and assembly bolts (3afv', 'check the condition of electrical connections and tighten terminals (3afv', 'check the condition of pulse encoder and coupling – check lockings of coupling bolts (3afv', 'check the condition and clean brake (3afv']",,
12 Monthly - Maintenance - Azipod Steering Motor 2 SB,A2066-2670-C,2670,1. Check the condition of bearings ( 3AFV6088283),['check the condition of bearings ( 3afv'],,
5 Yearly - Maintenance - Azipod Steering Motor 2 SB,A2067-2670-C,2670,1. Change tachometer (ABB),['change tachometer'],,
As required - Maintenance - Azipod Steering Motor 1 PS,A2068-2670,2670,"1.Replace bearings (motors with permanently greased bearings) or every 20.000 h
2. Dismount motor brake set and change pad  (ABB)","['replace bearings or every', '000 h', 'dismount motor brake set and change pad']",,
3 Monthly - Maintenance - Azipod Steering Motor 1 PS,A2069-2670-C,2670,"1. Check the condition of motor mounting and assembly bolts (3AFV6088283)
2. Check the condition of electrical connections and tighten terminals (3AFV6088283)
3. Check the condition of pulse encoder and coupling – Check lockings of coupling bolts (3AFV6088283)
4. Check the condition and clean brake (3AFV6088283)","['check the condition of motor mounting and assembly bolts (3afv', 'check the condition of electrical connections and tighten terminals (3afv', 'check the condition of pulse encoder and coupling – check lockings of coupling bolts (3afv', 'check the condition and clean brake (3afv']",,
12 Monthly - Maintenance - Azipod Steering Motor 1 PS,A2070-2670-C,2670,1. Check the condition of bearings ( 3AFV6088283),['check the condition of bearings ( 3afv'],,
5 Yearly - Maintenance - Azipod Steering Motor 1 PS,A2071-2670-C,2670,1. Change tachometer (ABB),['change tachometer'],,
As required - Maintenance - Azipod Steering Motor 2 PS,A2072-2670,2670,"1.Replace bearings (motors with permanently greased bearings) or every 20.000 h
2. Dismount motor brake set and change pad  (ABB)","['replace bearings or every', '000 h', 'dismount motor brake set and change pad']",,
3 Monthly - Maintenance - Azipod Steering Motor 2 PS,A2073-2670-C,2670,"1. Check the condition of motor mounting and assembly bolts (3AFV6088283)
2. Check the condition of electrical connections and tighten terminals (3AFV6088283)
3. Check the condition of pulse encoder and coupling – Check lockings of coupling bolts (3AFV6088283)
4. Check the condition and clean brake (3AFV6088283)","['check the condition of motor mounting and assembly bolts (3afv', 'check the condition of electrical connections and tighten terminals (3afv', 'check the condition of pulse encoder and coupling – check lockings of coupling bolts (3afv', 'check the condition and clean brake (3afv']",,
12 Monthly - Maintenance - Azipod Steering Motor 2 PS,A2074-2670-C,2670,1. Check the condition of bearings ( 3AFV6088283),['check the condition of bearings ( 3afv'],,
5 Yearly - Maintenance - Azipod Steering Motor 2 PS,A2075-2670-C,2670,1. Change tachometer (ABB),['change tachometer'],,
As required - Maintenance - Azipod Propulsion Module SB,A2079-2670,2670,"1. Add oil  (Thrust Bearing) (3AFV6087407)
2. Flushing the shaft seal (Shaft Sealing)
3. Add oil (Shaft Sealing)","['add oil (3afv', 'flushing the shaft seal', 'add oil']",DOC-00000200;DOC-00000208;DOC-00000223;DOC-00000225;DOC-00000227,"Task: 'add oil' - Manual: 3AFV6088289A_Planetary Gear Maintenance.pdf (ID: DOC-00000200) - Pages: 7
Task: 'flushing the shaft seal' - Manual: 3AFV6082485C_Auxiliary Device Cabinet Maintenance  .pdf (ID: DOC-00000208) - Pages: 2, 17, 19
Task: 'add oil' - Manual: 3AFV6087407A_Thrust Bearing Oil Change.pdf (ID: DOC-00000223) - Pages: 1
Task: 'flushing the shaft seal' - Manual: 3AFV6091170B_Shaft Seal Maintenance during Operation.pdf (ID: DOC-00000225) - Pages: 1, 2
Task: 'add oil' - Manual: 3AFV6087441B_Gravity Tank Oil Change.pdf (ID: DOC-00000227) - Pages: 2, 3"
1 Monthly - Maintenance - Azipod Propulsion Module SB,A2080-2670-C,2670,"1. Check oil level (Thrust Bearing) (3AFV6087407)
2. Shaftline bearings' acceleration measurement (3AFV6075611)
3. Check shaft sealing system functioning (system status and amount of drainage and oil level) (3AFV6091170)
4. Check oil level (Shaft Sealing)
5. Check drainage system functioning (system status and amount of drainage)
","['check oil level (3afv', ""shaftline bearings' acceleration measurement (3afv"", 'check shaft sealing system functioning (3afv', 'check oil level', 'check drainage system functioning']",,
3 Monthly - Maintenance - Azipod Propulsion Module SB,A2081-2670-C,2670,"1. Take oil sample (Thruste Bearing) (3AFV6087407 )
2. Re-grease the Propeller Bearing (in case of manual or semi-automatic lubrication) 
3. Send bearings acceleration measurement datas to ABB (3AFV6075611) 
4. Take oil sample (Shaft Sealing) (3AFV6087441)","['take oil sample', 're-grease the propeller bearing', 'send bearings acceleration measurement datas to abb (3afv', 'take oil sample (3afv']",DOC-00000223;DOC-00000227,"Task: 'take oil sample' - Manual: 3AFV6087407A_Thrust Bearing Oil Change.pdf (ID: DOC-00000223) - Pages: 3
Task: 'take oil sample' - Manual: 3AFV6087441B_Gravity Tank Oil Change.pdf (ID: DOC-00000227) - Pages: 2"
12 Monthly - Maintenance - Azipod Propulsion Module SB,A2082-2670-C,2670,"1. Change oil (Thrust Bearing) (3AFV6087407)
2. Take oil sample during oil change (Thrust Bearing) (3AFV6087407)
3. Check condition of valves (Shaft Sealing) (3AFV6091170)
4. Change oil (Shaft Sealing) (3AFV6087441)
5. Take oil sample during oil change (Shaft Sealing) (3AFV6087441)
6. Check condition of drainage tank and valves 
7. Clean ejector pump and noise silencer (Drainage System)","['change oil (3afv', 'take oil sample during oil change (3afv', 'check condition of valves (3afv', 'change oil (3afv', 'take oil sample during oil change (3afv', 'check condition of drainage tank and valves', 'clean ejector pump and noise silencer']",,
30 Monthly - Maintenance - Azipod Propulsion Module SB,A2083-2670-C,2670,"1. Perform visual inspection underwater part (corrosion, cracks, deformation, overall cleanness, marine fouling, painted surfaces etc.) (3AFV6076873)
2. Perform visual underwater inspection for strut sea water space. Remove marine fouling and clean if needed. (3AFV6076873)
3. Perform visual inspection of bolt connections (underwater part) (3AFV6076873)
4. Check net pick-up ring and net cutters (underwater part) (3AFV6076873)
5. Perform visual inspection of propeller (and nozzle). Remove from marine fouling if needed. (3AFV6076873)
","['perform visual inspection underwater part (3afv', 'perform visual underwater inspection for strut sea water space. remove marine fouling and clean if needed. (3afv', 'perform visual inspection of bolt connections (3afv', 'check net pick-up ring and net cutters (3afv', 'perform visual inspection of propeller . remove from marine fouling if needed. (3afv']",,
5 Yearly - Maintenance - Azipod Propulsion Module SB,A2084-2670-C,2670,"
1. Change anodes 
2. Repair painting
3. Paint underwater parts
4. Thrust bearing boroscopy inspection (ABB)
5. Motor boroscopy inspection (ABB)
","['change anodes', 'repair painting', 'paint underwater parts', 'thrust bearing boroscopy inspection', 'motor boroscopy inspection']",DOC-00000239,"Task: 'repair painting' - Manual: 3AFV6076331B_Visually Checking CAU Air Channels.pdf (ID: DOC-00000239) - Pages: 1, 2"
40000 Hour/5 Yearly - Maintenance - Azipod Propulsion Module SB,A2136-2670-S,2670,1. Change shaft seal set (condition based / ABB),['change shaft seal set'],,
70000 Hour/5 Yearly - Maintenance - Azipod Propulsion Module SB,A2137-2670-S,2670,"1. Water seal flange zinc anodes' change (ABB)
2. Hull and nozzle(for DZ only) repair welding (condition based)","[""water seal flange zinc anodes' change"", 'hull and nozzle repair welding']",,
70000 Hour/10 Yearly - Maintenance - Azipod Propulsion Module SB,A2085-2670-S,2670,"1. Change propeller bearing set (condition based / ABB)
2. Change thrust bearing set (condition based / ABB)
3. Overhaul maintenance brake (ABB)
4. Check motor visually (ABB)
5. Clean inside of motor (ABB)
6. Flush the pipelines (ABB)
7. Azipod hull visual inspection (ABB)
8. Check functioning of all sensors, replace if needed (ABB)
","['change propeller bearing set', 'change thrust bearing set', 'overhaul maintenance brake', 'check motor visually', 'clean inside of motor', 'flush the pipelines', 'azipod hull visual inspection', 'check functioning of all sensors, replace if needed']",DOC-00000200;DOC-00000201;DOC-00000224;DOC-00000228,"Task: 'azipod hull visual inspection' - Manual: 3AFV6088289A_Planetary Gear Maintenance.pdf (ID: DOC-00000200) - Pages: 2, 9
Task: 'change propeller bearing set' - Manual: 3AFV6088336C_Greasing System Maintenance.pdf (ID: DOC-00000201) - Pages: 8
Task: 'change propeller bearing set' - Manual: 3AFV6075611B_Bearing Condition Monitoring.pdf (ID: DOC-00000224) - Pages: 2
Task: 'change propeller bearing set' - Manual: 3AFV6076873A_Propulsion Module Exterior Checks.pdf (ID: DOC-00000228) - Pages: 4"
As required - Maintenance - Azipod Propulsion Module PS,A2086-2670,2670,"1. Add oil  (Thrust Bearing) (3AFV6087407)
2. Flushing the shaft seal (Shaft Sealing)
3. Add oil (Shaft Sealing)","['add oil (3afv', 'flushing the shaft seal', 'add oil']",DOC-00000200;DOC-00000208;DOC-00000223;DOC-00000225;DOC-00000227,"Task: 'add oil' - Manual: 3AFV6088289A_Planetary Gear Maintenance.pdf (ID: DOC-00000200) - Pages: 7
Task: 'flushing the shaft seal' - Manual: 3AFV6082485C_Auxiliary Device Cabinet Maintenance  .pdf (ID: DOC-00000208) - Pages: 2, 17, 19
Task: 'add oil' - Manual: 3AFV6087407A_Thrust Bearing Oil Change.pdf (ID: DOC-00000223) - Pages: 1
Task: 'flushing the shaft seal' - Manual: 3AFV6091170B_Shaft Seal Maintenance during Operation.pdf (ID: DOC-00000225) - Pages: 1, 2
Task: 'add oil' - Manual: 3AFV6087441B_Gravity Tank Oil Change.pdf (ID: DOC-00000227) - Pages: 2, 3"
1 Monthly - Maintenance - Azipod Propulsion Module PS,A2087-2670-C,2670,"1. Check oil level (Thrust Bearing) (3AFV6087407)
2. Shaftline bearings' acceleration measurement (3AFV6075611)
3. Check shaft sealing system functioning (system status and amount of drainage and oil level) (3AFV6091170)
4. Check oil level (Shaft Sealing)
5. Check drainage system functioning (system status and amount of drainage)
","['check oil level (3afv', ""shaftline bearings' acceleration measurement (3afv"", 'check shaft sealing system functioning (3afv', 'check oil level', 'check drainage system functioning']",,
3 Monthly - Maintenance - Azipod Propulsion Module PS,A2088-2670-C,2670,"1. Take oil sample (Thruste Bearing) (3AFV6087407 )
2. Re-grease the Propeller Bearing (in case of manual or semi-automatic lubrication) 
3. Send bearings acceleration measurement datas to ABB (3AFV6075611) 
4. Take oil sample (Shaft Sealing) (3AFV6087441)","['take oil sample', 're-grease the propeller bearing', 'send bearings acceleration measurement datas to abb (3afv', 'take oil sample (3afv']",DOC-00000223;DOC-00000227,"Task: 'take oil sample' - Manual: 3AFV6087407A_Thrust Bearing Oil Change.pdf (ID: DOC-00000223) - Pages: 3
Task: 'take oil sample' - Manual: 3AFV6087441B_Gravity Tank Oil Change.pdf (ID: DOC-00000227) - Pages: 2"
12 Monthly - Maintenance - Azipod Propulsion Module PS,A2089-2670-C,2670,"1. Change oil (Thrust Bearing) (3AFV6087407)
2. Take oil sample during oil change (Thrust Bearing) (3AFV6087407)
3. Check condition of valves (Shaft Sealing) (3AFV6091170)
4. Change oil (Shaft Sealing) (3AFV6087441)
5. Take oil sample during oil change (Shaft Sealing) (3AFV6087441)
6. Check condition of drainage tank and valves 
7. Clean ejector pump and noise silencer (Drainage System)","['change oil (3afv', 'take oil sample during oil change (3afv', 'check condition of valves (3afv', 'change oil (3afv', 'take oil sample during oil change (3afv', 'check condition of drainage tank and valves', 'clean ejector pump and noise silencer']",,
30 Monthly - Maintenance - Azipod Propulsion Module PS,A2090-2670-C,2670,"1. Perform visual inspection underwater part (corrosion, cracks, deformation, overall cleanness, marine fouling, painted surfaces etc.) (3AFV6076873)
2. Perform visual underwater inspection for strut sea water space. Remove marine fouling and clean if needed. (3AFV6076873)
3. Perform visual inspection of bolt connections (underwater part) (3AFV6076873)
4. Check net pick-up ring and net cutters (underwater part) (3AFV6076873)
5. Perform visual inspection of propeller (and nozzle). Remove from marine fouling if needed. (3AFV6076873)
","['perform visual inspection underwater part (3afv', 'perform visual underwater inspection for strut sea water space. remove marine fouling and clean if needed. (3afv', 'perform visual inspection of bolt connections (3afv', 'check net pick-up ring and net cutters (3afv', 'perform visual inspection of propeller . remove from marine fouling if needed. (3afv']",,
5 Yearly - Maintenance - Azipod Propulsion Module PS,A2091-2670-C,2670,"
1. Change anodes 
2. Repair painting
3. Paint underwater parts
4. Thrust bearing boroscopy inspection (ABB)
5. Motor boroscopy inspection (ABB)
","['change anodes', 'repair painting', 'paint underwater parts', 'thrust bearing boroscopy inspection', 'motor boroscopy inspection']",DOC-00000239,"Task: 'repair painting' - Manual: 3AFV6076331B_Visually Checking CAU Air Channels.pdf (ID: DOC-00000239) - Pages: 1, 2"
40000 Hour/5 Yearly - Maintenance - Azipod Propulsion Module PS,A2138-2670-S,2670,1. Change shaft seal set (condition based / ABB),['change shaft seal set'],,
70000 Hour/5 Yearly - Maintenance - Azipod Propulsion Module PS,A2139-2670-S,2670,"1. Water seal flange zinc anodes' change (ABB)
2. Hull and nozzle(for DZ only) repair welding (condition based)","[""water seal flange zinc anodes' change"", 'hull and nozzle repair welding']",,
70000 Hour/10 Yearly - Maintenance - Azipod Propulsion Module PS,A2092-2670-S,2670,"1. Change propeller bearing set (condition based / ABB)
2. Change thrust bearing set (condition based / ABB)
3. Overhaul maintenance brake (ABB)
4. Check motor visually (ABB)
5. Clean inside of motor (ABB)
6. Flush the pipelines (ABB)
7. Azipod hull visual inspection (ABB)
8. Check functioning of all sensors, replace if needed (ABB)
","['change propeller bearing set', 'change thrust bearing set', 'overhaul maintenance brake', 'check motor visually', 'clean inside of motor', 'flush the pipelines', 'azipod hull visual inspection', 'check functioning of all sensors, replace if needed']",DOC-00000200;DOC-00000201;DOC-00000224;DOC-00000228,"Task: 'azipod hull visual inspection' - Manual: 3AFV6088289A_Planetary Gear Maintenance.pdf (ID: DOC-00000200) - Pages: 2, 9
Task: 'change propeller bearing set' - Manual: 3AFV6088336C_Greasing System Maintenance.pdf (ID: DOC-00000201) - Pages: 8
Task: 'change propeller bearing set' - Manual: 3AFV6075611B_Bearing Condition Monitoring.pdf (ID: DOC-00000224) - Pages: 2
Task: 'change propeller bearing set' - Manual: 3AFV6076873A_Propulsion Module Exterior Checks.pdf (ID: DOC-00000228) - Pages: 4"
30 Monthly - Maintenance - Azipod UPS Unit SB,A2140-2670-C,2670,1. Check UPS system ,['check ups system'],,
30 Monthly - Maintenance - Azipod UPS Unit PS,A2142-2670-C,2670,1. Check UPS system ,['check ups system'],,
